Vamos tentar alguma coisa!	ALGUM COISA TENTAR
Eu assisti televisão hoje de manhã.	HOJE MANHÃ EU TELEVISÃO
Eu faço almoço todo dia.	EU DIA TODO FAZER
A vida é uma doença fatal sexualmente transmissível.	SEXUAL VIDA TRANSMISSÍVEL DOENÇA FATAL
Sinto muito, o voo está lotado.	VOO SENTIR LOTAR
"Idade?" "16"	IDADE 16
Você deve estar triste, já que você perdeu um de seus amigos.	VOCÊ JÁ QUE VOCÊ SEU DEVER TRISTE PERDER AMIGOS
"Qual é a sua idade?" "Tenho dezesseis anos."	QUAL IDADE SEU DEZESSEIS ANOS EU TER
Hoje foi divertido.	HOJE DIVERTIR
Isso não é chato?	{ISSO CHATO}(q)
Eu acho que ele não vem.	ELE EU ACHAR VIR (NÃO)
Não há ninguém na sala.	NINGUÉM SALA HAVER (NÃO)
Eu consigo fazer sozinho!	EU SÓ FAZER CONSEGUIR
Correr é bom para a saúde.	CORRER SAÚDE
Ela não tem que trabalhar.	ELE TRABALHAR (NÃO)
Eu não gosto de ver filmes.	EU FILMES VER GOSTAR (NÃO)
Eu gosto de tomar sopa quente.	EU QUENTE SOPA TOMAR GOSTAR
O que você vai fazer no fim de semana?	{FIM SEMANA O VOCÊ FAZER}(q)
Eu quero respirar um pouco de ar fresco.	EU UM POUCO FRESCO AR RESPIRAR QUERER
Minha esposa gripa fácil.	MULHER ESPOSO FÁCIL MEU ELE GRIPAR
Minha esposa tem facilidade de pegar gripe.	MEU MULHER ESPOSO FACILIDADE GRIPE TER PEGAR
Eu tenho que estudar para o teste.	EU TESTE ESTUDAR
Havia muita neve no ano passado.	NEVE ANO MUITA HAVER PASSADO
Havia um tempo em que havia uma ponte aqui.	AQUI TEMPO PONTE HAVER HAVER
Eu terminei de ler aquele livro.	EU AQUELE LIVRO LER TERMINAR
Eu continuei trabalhando.	EU TRABALHAR CONTINUAR
Eu devolvi o livro para a biblioteca.	EU BIBLIOTECA LIVRO DEVOLVER
Me desculpe, mas estou indo para casa.	EU DESCULPAR MAS CASA IR
Há muito tempo atrás havia uma ponte aqui.	ATRÁS HAVER MUITO TEMPO PONTE AQUI HAVER
Ele dormiu demais hoje de manhã.	DEMAIS ELE HOJE MANHÃ DORMIR
Ele dormiu demais nessa manhã.	DEMAIS ELE ESSE MANHÃ DORMIR
Esta carne é de frango.	ESTE CARNE FRANGO
Eu acho que é perigoso andar sozinho à noite.	EU ACHAR PERIGOSO ANDAR SÓ NOITE
Ele tem uma voz agradável.	AGRADÁVEL ELE VOZ TER
Eu tenho muito dever de casa.	EU CASA DEVER TER
Ela costumava ser professora.	ELE MULHER PROFESSOR
Se há algo que seja uma ato imperdoável, é o ato de não perdoar.	ATO HAVER ALGO ATO SER PERDOAR (NÃO)
Pessoas machucadas machucam pessoas.	PESSOA PESSOAS MACHUCAR ELES MACHUCAR
Seus amigos sentirão saudades de você quando você for embora.	SEU AMIGOS VOCÊ SAUDADES SENTIR QUANDO VOCÊ EMBORA IR
Quando você vai se casar?	VOCÊ CASAR QUANDO (NÃO)
Temos muita neve no inverno.	NEVE INVERNO MUITA NÓS TER
A Lituânia é um membro da União Europeia.	LITUÂNIA MEMBRO UNIÃO EUROPEIA
O pássaro símbolo do estado de Minnesota é o mosquito.	SÍMBOLO MINNESOTA ESTADO MOSQUITO
Eu voltarei para a Austrália depois de amanhã.	DEPOIS EU AUSTRÁLIA AMANHÃ VOLTAR
Com esta entrada, duas pessoas podem entrar de graça.	GRAÇA ESTE PESSOA ENTRADA 2 ENTRAR ELES PODER
Feliz 4 de julho!	FELIZ 4 JULHO
Seu idiota!	IDIOTA SEU
Eu queria ter tempo para ficar e conversar com você.	EU TEMPO TER QUERER FICAR SÓ VOCÊ CONVERSAR
É perigoso duas pessoas andarem ao mesmo tempo numa bicicleta.	AO MESMO TEMPO PERIGOSO PESSOA 2 ELES ANDAR BICICLETA
Ele tirou 90 em Inglês.	ELE INGLÊS 90 TIRAR
Vale a pena lembrar do problema.	PENA PROBLEMA LEMBRAR ELE VALER
O problema vale a pena ser lembrado.	PROBLEMA PENA LEMBRAR ELE VALER
Uma celebridade é uma pessoa que é conhecida por sua qualidade de ser bem conhecida.	BEM CELEBRIDADE PESSOA QUALIDADE SEU CONHECER CONHECER
Educação é aprender aquilo que você nem sabia que não sabia.	EDUCAÇÃO APRENDER AQUILO VOCÊ NEM QUE ELE SABER NÃO_SABER {NÃO}(headshake)
Até crianças podem ler esse livro.	CRIANÇAS ESSE LIVRO LER PODER
Não se preocupe! Mesmo se eu beber, isso não afeta minha capacidade de dirigir.	ELE PREOCUPAR MESMO MEU ISSO EU BEBER CAPACIDADE DIRIGIR AFETA (NÃO)
Lei e política são coisas diferentes.	LEI SÓ POLÍTICA COISAS DIFERENTE
Você está escovando seus dentes direito?	{DIREITO VOCÊ DENTES SEU ESCOVAR}(q)
Eu vou sair em uma hora.	EU HORA SAIR
Daqui a uma hora eu sairei.	AQUI EU HORA SAIR
"Seu nariz está escorrendo." "D-desculpe."	NARIZ SEU ESCORRER D DESCULPE
Eu sou um bom motorista de táxi.	EU MOTORISTA BOM TÁXI
Ei, você! Não corra em volta da piscina!	EIS VOCÊ CORRA VOLTA PISCINA (NÃO)
Meus olhos estão doendo.	OLHOS MEU DOER
Meus olhos doem.	OLHOS MEU DOER
Este é de longe o melhor entre todos esses.	LONGE ESTE TODO MELHOR ESSE
Tentativas de lutar contra o incêndio usando baldes logo se provaram infrutíferas.	LOGO TENTATIVAS INCÊNDIO INFRUTÍFERAS BALDES LUTAR USAR PROVAR
O muro que separa criminosos de não criminosos não é tão grosso quanto pensamos.	TÃO GROSSO MURO CRIMINOSOS CRIMINOSOS SEPARAR (NÃO)
Coisas que você vê com seus olhos não são necessariamente verdades.	NECESSARIAMENTE VOCÊ COISAS OLHOS SEU VERDADES VER (NÃO)
Se você olhar de longe, a maioria das coisas vão parecer bonitas.	LONGE SE VOCÊ COISAS PARECER BONITO MAIORIA OLHAR
Vou tentar mais na próxima vez.	PRÓXIMO VEZ TENTAR
Mas o trabalho na fazenda era agradável.	MAS TRABALHO AGRADÁVEL FAZENDA
Apesar da pouca idade, ele fez um bom trabalho.	APESAR BOM POUCO ELE IDADE TRABALHO FAZER
A sorte é como uma mulher: ela tem que ser desejada.	SORTE ELE DESEJAR MULHER
Ele é um bom advogado.	ELE BOM ADVOGADO
O que o médico disse?	{O MÉDICO DIZER}(q)
Feliz dia do Canadá!	FELIZ DIA CANADÁ
Por que pedir desculpas por algo que você nem fez?	{ALGO VOCÊ DESCULPAS PEDIR NEM ELE FAZER}(q)
Qual é o problema?	PROBLEMA QUAL (NÃO)
"Sério?" "Sim, sério."	SÉRIO SIM SÉRIO
Tenho que dormir logo.	LOGO DORMIR
O Céu e o Inferno só existem nos corações dos homens.	CÉU SÓ SÓ INFERNO CORAÇÕES HOMEM EXISTIR
Até o inferno pode ser um bom lugar para viver quando você se acostuma com ele.	INFERNO LUGAR PODER VIVER QUANDO VOCÊ DELE ACOSTUMAR
Tudo que há nesse mundo não é mais do que um sonho.	TUDO ESSE MUNDO MAIS DO QUE SONHO HAVER (NÃO)
A mulher observa, o homem decide.	MULHER HOMEM DECIDIR OBSERVAR
Ele chamou um táxi para mim.	ELE TÁXI EU PESSOA
Ele trabalha num banco.	ELE BANCO TRABALHAR
Aonde você vai?	{AONDE VOCÊ IR}(q)
Ela cortou a maçã pela metade.	ELE MAÇÃ METADE CORTAR
Ela cortou a maçã no meio.	ELE MAÇÃ MEIO CORTAR
Ela dividiu a maçã em duas partes iguais.	IGUAL ELE MAÇÃ 2 PARTE DIVIDIR
Pharamp deseja a todos um Feliz Natal e que 2015 seja um ano repleto de harmonia.	PHARAMP TODO FELIZ NATAL DESEJAR SÓ 2015 REPLETO ANO HARMONIA
Ela frequentemente chegava atrasada na escola.	FREQUENTE ELE ESCOLA ATRASAR CHEGAR
Ela muitas vezes estava atrasada para a escola.	ELE ESCOLA ATRASAR
Ninguém nunca ficou rico economizando em drinques.	NINGUÉM RICO ECONOMIZAR FICAR NUNCA NÃO
Minha perna foi mordida por um cachorro.	MEU PERNA CACHORRO MORDER
Temos cinco tipos de kebab.	TIPO 5 KEBAB NÓS TER
Você poderia falar mais devagar, por favor?	{DEVAGAR VOCÊ FAVOR MAIS FALAR PODER}(q)
Você tem que evitar cometer esse tipo de erro.	VOCÊ ESSE TIPO ERRO COMETER EVITAR
Você decidiu ir ao Japão?	{VOCÊ JAPÃO IR DECIDIR}(q)
Você fez seus deveres?	{VOCÊ DEVERES SEU FAZER}(q)
É proibido aos estudantes fumar no terreno da escola.	ESTUDANTES TERRENO ESCOLA FUMAR PROIBIR
O que ele me disse me chocou.	O ELE EU EU DIZER CHOCAR
O nível de segurança, como estabelecido pelo Departamento de Segurança Interior, é laranja.	COMO NÍVEL SEGURANÇA LARANJO DEPARTAMENTO SEGURANÇA INTERIOR ESTABELECER
Graças a uma necessidade urgente, ele não poderá vir.	ELE NECESSIDADE VIR PODER (NÃO)
Isso é um gato ou um cachorro?	{ISSO CACHORRO GATO OU}(q)
Tom gosta de tomates?	{TOM TOMATES GOSTAR}(q)
Eu sou francês.	EU FRANCÊS
Vamos tentar algo!	ALGO TENTAR
Vá para o médico pegar a receita!	EU IR RECEITA MÉDICO PEGAR
Ele percebeu que estava errado.	ELE PERCEBER ERRAR
Ele viu que ele estava errado.	ELE ELE VER ERRAR
Eu comecei a ler o livro.	EU LIVRO LER COMEÇAR
Eu comecei a escrever o livro.	EU LIVRO ESCREVER COMEÇAR
Eu comecei o livro.	EU LIVRO COMEÇAR
As pessoas são geralmente bem céticas em relação às coisas a menos que sejam dadas provas credíveis.	GERAL BEM PESSOA CÉTICAS PROVAS RELAÇÃO CREDÍVEIS COISAS MENOS DAR
Se pelo menos eu cantasse melhor.	PELO MENOS SE EU MELHOR CANTAR
É claro que eu concordo que você deva avançar na vida através de seus próprios esforços.	CLARO EU QUE VOCÊ SEU CONCORDAR DEVER VIDA PRÓPRIOS ESFORÇOS AVANÇAR
Eu nunca pensei que eu mesmo cometeria esse erro.	MESMO EU EU ESSE COMETER ERRO PENSAR NUNCA NÃO
Eu próprio já paguei multas por estacionamento proibido algumas vezes.	JÁ EU PRÓPRIO ALGUM ESTACIONAMENTO MULTAS MULHER VEZ PAGAR PROIBIR
Todas essas reuniões são em inglês.	TODO ESSE MULHER REUNIÃO INGLÊS
Nos EUA, o consumo de fast-food triplicou entre 1977 e 1995.	CONSUMO EUA FAST FOOD 1977 SÓ 1995 TRIPLICAR
Por favor me leve para jantar!	EU JANTAR LEVAR
Ajudem um ao outro com o dever de casa.	UM AO OUTRO DEVER CASA ELES AJUDAR
Eles ajudaram um ao outro com o dever de casa.	UM AO OUTRO ELES DEVER CASA AJUDAR
Este pombo voou de São Francisco a Nova York.	ESTE POMBO SÃO FRANCISCO A NOVA YORK VOAR
Eu posso vir amanhã.	AMANHÃ EU VIR PODER
Essa velha e miserável igreja é o prédio mais antigo do nosso país.	ESSE VELHO SÓ MISERÁVEL IGREJA ANTIGO PRÉDIO NOSSO PAÍS MAIS
Vamos comer uma melancia!	VERMELHO MELÃO COMER
Todo mundo ama aquele lugar.	TODO MUNDO AQUELE LUGAR AMAR
Você gosta das pessoas que estão governando o país?	{VOCÊ PAÍS PESSOA GOSTAR GOVERNAR}(q)
Eu entrei numa escola de artes quando eu tinha 8 anos.	EU ARTE ESCOLA ENTRAR QUANDO EU 8 ANO TER
Eu queria que a minha grama fosse emo. Daí ela se cortaria sozinha.	EU GRAMA EMO MEU QUERER FOSSAR AÍ ELE SÓ CORTAR
Nós só temos chá.	NÓS CHÁ TER
Eu queria algo para beber.	EU ALGO QUERER BEBER
Você não gostaria de comer?	{VOCÊ COMER GOSTAR NÃO}(q)
Isso vai custar em torno de 10 mil ienes.	1000 IENE ISSO CUSTAR
Tudo bem se eu descansar um pouco?	{TUDO EU DESCANSAR UM POUCO}(q)
Algum problema se eu parar por um tempo?	{ALGUM PROBLEMA EU TEMPO PARAR}(q)
Você devia vestir um casaco.	VOCÊ CASACO VESTIR DEVER
Eles ainda não estão aqui.	AQUI ELES AINDA_{NÃO}(headshake)
Tem chovido muito nesse ano.	ESSE ANO CHOVER
Ele ainda está no trabalho.	AINDA ELE TRABALHO
Ele ainda está trabalhando.	AINDA ELE TRABALHAR
A televisão está ligada.	TELEVISÃO LIGAR
A biblioteca da universidade está aberta agora?	{AGORA BIBLIOTECA ABERTA UNIVERSIDADE}(q)
O lago tem um diâmetro de 3 milhas.	LAGO DIÂMETRO 3 MILHA TER
Você poderia falar um pouco mais devagar?	{DEVAGAR VOCÊ UM POUCO MAIS FALAR PODER}(q)
Não consigo respirar pelo nariz.	NARIZ RESPIRAR EU CONSEGUIR (NÃO)
Seus alunos falam mal dele sem ele saber.	MAL SEU ALUNOS DELE DELE SABER FALAR
Por favor, espere um pouco mais.	FAVOR UM POUCO MAIS ELE ESPERAR
Oi, você é o Sr. Ogawa?	{OI VOCÊ SR. OGAWA}(q)
"Você está bem?" "Estou bem!"	VOCÊ TUDO BEM EU TUDO BEM
Tudo é ilusão.	TUDO ILUSÃO
Minha cabeça dói tanto.	MEU CABEÇA TANTO DOER
Essa mobilha é da minha mãe.	ESSE MOBILHA MÃE MEU
Olha, mãe, estou no Tatoeba!	OLHA TATOEBA
A sentença nº 354618 gerou muita confusão na página web Tatoeba.	SENTENÇA WEB CONFUSÃO Nº MUITA 354618 PÁGINA TATOEBA GERAR
Como você respondeu?	VOCÊ RESPONDER COMO (NÃO)
E o que você disse?	{SÓ O VOCÊ DIZER}(q)
Quando a felicidade bate à sua porta.	QUANDO FELICIDADE PORTA SEU BATER
Flores bonitas não dão bons frutos.	BONITO BOM MULHER FLOR FRUTOS DAR (NÃO)
Estou muito cansado.	CANSAR
Estou bem cansado.	CANSAR EU TUDO BEM
Você gosta de tênis?	{VOCÊ TÊNIS GOSTAR}(q)
Bata na porta do coração de alguém.	BATA ALGUÉM CORAÇÃO
Bata na porta da felicidade.	BATA PORTA FELICIDADE
Se ninguém sabe o que vem a seguir, ninguém ficará desapontado.	SE NINGUÉM NINGUÉM O SABER SEGUIR VIR DESAPONTAR FICAR
Sou um homem solitário.	HOMEM SOLITÁRIO
Não há cura para dor de cotovelo.	CURA DOR COTOVELO HAVER (NÃO)
Inglês é mais difícil que japonês?	{INGLÊS DIFÍCIL JAPONÊS MAIS}(q)
Bem-vindo ao Tatoeba.	BEM VINDO TATOEBA
Eu provavelmente posso te dar sete minutos.	PROVAVELMENTE EU 7 MINUTO DAR PODER
Eu acho que eu posso te esperar por mais sete minutos.	EU EU 7 PODER MINUTO MAIS ESPERAR ACHAR
O que eu devo fazer agora que já me cadastrei?	{AGORA QUE O EU JÁ EU CADASTRAR FAZER DEVER}(q)
A comida era ótima na Itália.	COMIDA ÓTIMO ITÁLIA
Eu comi o queijo.	EU QUEIJO COMER
Antes de dar ordens, você deve aprender a obedecer.	ANTES VOCÊ ORDEM DAR APRENDER OBEDECER DEVER
Era mais barato do que eu pensava.	BARATO MAIS EU DO QUE PENSAR
Não foi tão caro quanto eu achei que fosse.	TÃO QUANTO CARO EU ACHAR FOSSAR IR (NÃO)
Está tudo bem! Não há necessidade de se sentir desconfortável.	BEM TUDO NECESSIDADE DESCONFORTÁVEL SENTIR HAVER (NÃO)
Você pode estudar, não importa a sua idade.	VOCÊ SEU IDADE ESTUDAR PODER IMPORTAR (NÃO)
O mundo que eu vi no meu sonho era um mundo de paz sem guerra.	MUNDO EU SONHO MUNDO PAZ GUERRA MEU VER
Por favor, lave bem suas mãos antes de comer.	BEM ANTES FAVOR MÃOS SEU COMER ELE LAVAR
Sua mãe sabe dirigir?	{SEU MÃE DIRIGIR SABER}(q)
Você é humano.	VOCÊ HUMANO
Que pôr-do-sol lindo.	PÔR DO SOL LINDO
Eu me pergunto se ele virá amanhã.	AMANHÃ EU SE ELE VIR PERGUNTAR
Leva mais ou menos 10 minutos para chegar na estação de trem a pé.	MAIS OU MENOS MINUTO 10 TREM ESTAÇÃO PÉ LEVAR CHEGAR
Aquele que mente também rouba.	TAMBÉM AQUELE MENTIR ROUBAR
Mentiroso hoje, ladrão amanhã.	HOJE MENTIROSO LADRÃO AMANHÃ
Morra logo!	LOGO ELE MORRER
Eu não quis dar essa impressão.	EU ESSE IMPRESSÃO DAR NÃO_QUERER {NÃO}(headshake)
Somente os mortos viram o fim da guerra.	SOMENTE MORTOS FIM GUERRA VER
Ele tinha a ambição de ser primeiro ministro.	ELE TER PRIMEIRO MINISTRO AMBIÇÃO
A festa de Trang foi tão divertida quanto um velório.	QUANTO FESTA TRANG TÃO VELÓRIO DIVERTIR
Ainda há muito o que fazer, então eu não ficarei entediado.	AINDA ENTÃO EU HAVER O FAZER ENTEDIAR (NÃO)
Você parece estar entediado.	VOCÊ PARECER ENTEDIAR
Eu fui realmente entediante?	{REAL EU IR ENTEDIANTE}(q)
Vou fazer exercícios todo dia.	TODO EXERCÍCIOS DIA FAZER
Sou bom no japonês.	JAPONÊS
A mulher observa e o homem pensa.	MULHER OBSERVAR SÓ HOMEM ELE PENSAR
Todos os homens se odeiam naturalmente.	NATURAL TODO HOMEM ELES ODIAR
Por favor, sente-se.	FAVOR ELE SENTIR
Você comprou este livro?	{VOCÊ ESTE LIVRO COMPRAR}(q)
O castelo é bonito.	CASTELO BONITO
Este castelo é bonito.	ESTE CASTELO BONITO
Pedra, papel, tesoura.	PEDRA PAPEL TESOURA
Vou tentar.	TENTAR
Ele não está falando sério.	ELE SÉRIO FALAR (NÃO)
Eu estou jogando mahjong pela primeira vez.	PELA PRIMEIRA VEZ EU MAHJONG JOGAR
Ele não é uma pessoa séria.	ELE PESSOA SÉRIO (NÃO)
ONU quer dizer Organização das Nações Unidas.	ONU ORGANIZAÇÃO DAS NAÇÕES UNIDAS
Eu parei de fumar.	EU FUMAR PARAR
Você precisa disso.	VOCÊ ISSO PRECISAR
Parece óbvio que ele está doente.	ÓBVIO ELE DOENTE PARECER
Eu costuma jogar frequentemente tênis com ele nos domingos.	FREQUENTE EU TÊNIS DOMINGOS DELE JOGAR COSTUMAR
Ele não é o único que tem essa opinião.	ESSE UNICO ELE OPINIÃO TER (NÃO)
Aquela mesa é pequena demais para Meg.	DEMAIS AQUELE MESA PEQUENO MEG
Mary ajudou sua mãe na cozinha.	MARY MÃE COZINHA SEU AJUDAR
Ken acendeu as velas.	KEN VELAS ACENDER
Quem é maior: Ken ou Taro?	{KEN TARO MAIOR OU QUEM}(q)
Quando vamos chegar no aeroporto?	AEROPORTO CHEGAR QUANDO (NÃO)
Você já decidiu sobre o que vai ser sua tese?	{JÁ VOCÊ TESE SEU DECIDIR O}(q)
Eu não uso mais óculos.	EU ÓCULOS MAIS USAR (NÃO)
Eu deixei de usar óculos.	EU ÓCULOS USAR DEIXAR
Eu não preciso mais usar óculos.	EU ÓCULOS MAIS USAR PRECISAR (NÃO)
O gelo derreteu.	GELO DERRETER
Isso não me preocupa.	ISSO EU PREOCUPAR (NÃO)
A partida foi cancelada por causa de chuva.	CHUVA PARTIDA CANCELAR
Tom não jantou ontem.	ONTEM TOM JANTAR (NÃO)
Jack não dirige rápido.	JACK RÁPIDO DIRIGIR (NÃO)
Jack nasceu em 10 de agosto.	JACK AGOSTO 10 NASCER
Jack não está aqui.	AQUI JACK (NÃO)
Você não devia falar de Jack pelas costas dele.	VOCÊ JACK COSTAS DELE FALAR DEVER (NÃO)
O menino tocando guitarra é Ken.	MENINO GUITARRA KEN TOCAR
Ambas irmãs são muito bonitas.	AMBOS MULHER IRMÃO BONITO
As duas irmãs são muito bonitas.	MULHER IRMÃO 2 BONITO
Ele herdou o negócio do seu pai.	ELE NEGÓCIO PAI SEU HERDAR
Betty é uma assassina em série.	BETTY MULHER ASSASSINO SÉRIE
Eu não sou uigur. Eu sou russo.	EU UIGUR EU RUSSO (NÃO)
Tom não corre tão rápido quanto Bill.	QUANTO TOM TÃO RÁPIDO BILL CORRER (NÃO)
Tom cometeu alguns erros no teste.	TOM ALGUM ERROS TESTE COMETER
Nosso chefe de cozinha está muito ocupado hoje.	HOJE CHEFE NOSSO OCUPAR
É proibido ler nesta biblioteca.	ESTE BIBLIOTECA LER PROIBIR
Betty matou Jane enquanto ela estava cantando.	BETTY JANE MATAR ENQUANTO ELE CANTAR
George parece ser um bom garoto.	GEORGE GAROTO BOM
Eu sempre mantive minhas promessas.	SEMPRE EU PROMESSAS MEU MANTER
Você poderia me levar ao hospital, por favor?	{VOCÊ HOSPITAL FAVOR EU LEVAR PODER}(q)
Deram a ela o nome de Alice por causa de sua tia.	PESSOA ALICE SEU ELE TIO DAR
Chris não tinha um carro para dirigir.	CHRIS CARRO DIRIGIR NÃO_TER {NÃO}(headshake)
Bárbara foi morta por Alister.	MULHER BÁRBARO ALISTER MATAR
Foi Bárbara quem Elister matou.	ELISTER BÁRBARA MATAR IR
Alister matou Bárbara.	ALISTER BÁRBARA MATAR
Foi Alistem quem matou Bárbara.	ALISTEM BÁRBARA IR
Abbott matou Mary.	ABBOTT MARY MATAR
Aaron matou Elizabeth.	AARON ELIZABETH MATAR
Eu não gosto de Alice.	EU ALICE GOSTAR (NÃO)
Eu não vou com a cara de Alice.	EU CARA ALICE IR (NÃO)
Um grande navio pede águas profundas.	GRANDE PROFUNDAS NAVIO ÁGUAS PEDIR
A cavalo dado não se olham os dentes.	CAVALO DENTES DAR OLHAR (NÃO)
Você trocou ruim por péssimo.	VOCÊ MAU RUIM TROCAR
Foi por você que eu vim.	IR EU VOCÊ VIR
Um homem com a barriga cheia acha que ninguém tem fome.	HOMEM ACHA NINGUÉM BARRIGA FOME
Por favor espere um pouco.	UM POUCO FAVOR ELE ESPERAR
O que eu deveria comprar?	{O EU COMPRAR DEVER}(q)
Deixe-me ir à loja.	EU LOJA IR DEIXAR
Não tem cerveja aqui.	AQUI CERVEJA ELE NÃO_TER {NÃO}(headshake)
Pode um deus onipotente criar uma pedra tão pesada que até mesmo ele não consegue levantá-la?	{TÃO ONIPOTENTE ELE DEUS ATÉ MESMO PEDRA PESAR CRIAR PODER LEVANTAR CONSEGUIR NÃO}(q)
O médico o aconselhou a diminuir a bebida.	MÉDICO BEBIDA O DIMINUIR ACONSELHAR
Deixe-me cortar as cenouras.	CENOURAS EU CORTAR DEIXAR
Chris derrotou o cavaleiro vampiro!	VAMPIRO CHRIS CAVALEIRO DERROTAR
Chris ganha 7 moedas de ouro!	CHRIS OURO 7 MOEDA GANHAR
Que tipo de comida você tem?	{TIPO VOCÊ COMIDA TER}(q)
"Quem te ajudou?" "Foi Tom."	QUEM TU AJUDAR TOM IR
Quando eu cheguei em casa, Tom estava estudando.	QUANDO EU TOM CASA CHEGAR ESTUDAR
Tom está na porta. Por favor peça para ele entrar.	TOM PORTA PEÇA FAVOR DELE ENTRAR
Chris brandiu sua espada!	CHRIS ESPADA SEU BRANDIR
As pernas dele são longas.	PERNAS LONGAS DELE
Prepare-se para o futuro.	FUTURO ELE PREPARAR
Meus olhos são azuis.	OLHOS AZUIS MEU
Me fizeram esperar quase meia hora.	QUASE EU MULHER MEIA HORA ESPERAR FAZER
Eu cheguei bem a tempo de pegar o avião.	BEM EU AVIÃO PEGAR CHEGAR
Ela simplesmente chorou um mar de lágrimas sobre o túmulo de seu pai.	SIMPLESMENTE ELE SEU LÁGRIMAS MAR TÚMULO PAI CHORAR
O que você disse não faz absolutamente nenhum sentido para mim.	ABSOLUTO VOCÊ NENHUM O SENTIDO DIZER FAZER (NÃO)
Eu não consigo entender nada do que você disse.	EU VOCÊ NADA DO QUE DIZER ENTENDER CONSEGUIR (NÃO)
Eu não entendo o que você está dizendo.	EU VOCÊ O DIZER ENTENDER (NÃO)
Eu não aguento aquele barulho.	EU AQUELE BARULHO AGUENTAR (NÃO)
É melhor eu ir logo dormir.	MELHOR EU LOGO DORMIR
Nós só fazemos comida Uigur.	SÓ NÓS UIGUR COMER FAZER
Voltarei às 6 e meia.	6 MEIO SÓ EU VOLTAR
Os japoneses fazem três refeições por dia.	JAPONÊS MULHER REFEIÇÃO 3 DIA FAZER
Todos os dois estudantes passaram em todos seus testes.	TODO ESTUDANTE TODO SEU 2 TESTE PASSADO
Ambos os estudantes foram aprovados em todos seus testes.	AMBOS ESTUDANTES TODO TESTES SEU APROVAR
Eu não entendi nada do que ele disse.	EU ELE NADA DO QUE DIZER ENTENDER (NÃO)
Estes sapatos são dela.	ESTE SAPATOS ELE
Ele não tem nem ideia de como essa reunião é importante.	ELE NÃO_TER NEM COMO PENSAR ESSE REUNIÃO IMPORTANTE {NÃO}(headshake)
Ele se ofende fácil.	ELE FÁCIL OFENDER
Eu fiz uma boneca para Ann.	EU BONECA ANN FAZER
Eu dei muito trabalho a ele.	EU TRABALHO DELE DAR
Eu causei muitos problemas para ele.	EU PROBLEMA MUITOS DELE CAUSAR
Ele perdeu o emprego.	ELE TRABALHO PERDER
Ele foi demitido.	ELE DEMITIR
Faz séculos que eu não te vejo.	EU FAZER SÉCULOS TU VER (NÃO)
A próxima segunda é feriado.	SEGUNDA FERIADO
Aaron foi assassinado friamente por Mary.	FRIO AARON MARY ASSASSINAR
Elizabeth matou Alister a sangue frio.	FRIO ELIZABETH ALISTER SANGUE MATAR
Eles foram de carro para a estação.	ELES CARRO ESTAÇÃO IR
Lucro líquido pelos últimos três meses é um novo recorde!	LUCRO 3 NOVO RECORDE MÊS
Eu quase pisei em um gambá ontem à noite.	ONTEM EU GAMBÁ QUASE NOITE PISAR
O que os olhos não veem o coração não sente.	OLHOS O CORAÇÃO SENTIR NÃO VEEM (NÃO)
Mentira tem perna curta.	CURTO MENTIRA PERNA TER
Eu era estudante nessa época.	EU ESSE ESTUDANTE ÉPOCA
Eu vi Dana.	EU DANA VER
Eles veem Dan.	ELES DAN VEEM
Eu vejo Dan e Andrei.	EU DAN SÓ ANDREI VER
Eu vejo Dana e Corina.	EU DANA SÓ CORINA VER
Eu visitei Dan.	EU DAN VISITAR
Eu vou ao trabalho todo dia.	EU TODO TRABALHO DIA IR
Eu faço isso todo santo dia.	EU TODO ISSO SANTO DIA FAZER
Eu visitei a Romênia há alguns anos atrás.	ATRÁS EU ALGUM HAVER ROMÊNIA ANOS VISITAR
Eu vi Andrea saindo de casa.	EU CASA ANDREA SAIR VER
Eles estão tomando chá na sala de estar.	ELES CHÁ SALA TOMAR
Eu levei minhas roupas para lavar.	EU MEU LAVAR ROUPAS LEVAR
Eu gostaria de beber um café.	EU CAFÉ BEBER GOSTAR
Vamos ver o que vai acontecer.	O VER ACONTECER
Razvan acabou de sair.	RAZVAN SAIR ACABAR
Eu não choro facilmente.	FACILMENTE EU CHORAR (NÃO)
Eu te vi trabalhando e eu não te atrapalhei.	EU TU TRABALHAR VER SÓ EU TU ATRAPALHAR (NÃO)
Você quer ir ao cinema ou para o teatro?	{VOCÊ CINEMA OU TEATRO IR QUERER}(q)
Quando você for à Romênia, você vai visitar o Castelo do Drácula.	QUANDO VOCÊ ROMÊNIA CASTELO DO DRÁCULA VISITAR IR
Na França você trabalha na embaixada ou no consulado?	{VOCÊ EMBAIXADA OU CONSULADO FRANÇA TRABALHAR}(q)
Você quer ver um filme francês, não é?	{VOCÊ FILME VER QUERER}(q)
Vocês são alemães, não são?	{ALEMÃES VOCÊS}(q)
Sempre que escuto essa música eu me lembro de meus tempos de escola.	SEMPRE QUE ESSE EU MÚSICA MEU EU TEMPOS ESCOLA LEMBRAR ESCUTAR
Eu não acredito em Naomi. Acho que ela está mentindo.	EU NAOMI ACREDITAR NÃO ELE MENTIR ACHAR (NÃO)
Não há nada que se possa fazer.	NADA FAZER PODER HAVER (NÃO)
A felicidade, o que ela será?	{FELICIDADE O ELE}(q)
