Vamos tentar alguma coisa!	ALGUM COISA TENTAR
Às vezes Spenser se preocupa tanto com Trang que ele leva ela a pensar que ele está sendo superprotetor.	ÀS VEZES TANTO ELE QUE ELE DT(S-P-E-N-S-E-R) DT(T-R-A-N-G) ELE SUPERPROTETOR PREOCUPAR PENSAR LEVAR
Há coisas nesse mundo que simplesmente não podem ser expressadas em forma de palavras.	ESSE COISA FORMA PALAVRAS HAVER EXPRESSAR PODER AINDA_{NÃO}(headshake)
Cuide-se bem.	BEM ELE CUIDAR
As funções seno e cosseno retornam valores entre -1 e 1 (-1 e 1 incluídos).	MULHER FUNÇÃO SENO COSSENO VALOR 1 RETORNAR 1 1 INCLUIR
Posso ficar na sua casa? Não tenho para onde ir.	{CASA SEU FICAR EU PODER ONDE IR}(q)
Se pelo menos nós parássemos de tentar sermos felizes, nós poderíamos ter um momento feliz.	PELO MENOS SE NÓS FELIZES NÓS PARAR PODER FELIZ MOMENTO TENTAR TER
A morte é um horizonte; e um horizonte não é nada mais que o limite da nossa visão.	MORTE HORIZONTE HORIZONTE LIMITE NOSSO NADA VISÃO MAIS (NÃO)
A única forma na Terra de multiplicar a felicidade é dividi-la.	FORMA TERRA FELICIDADE DIVIDIR MULTIPLICAR
Tudo é teoricamente impossível até que seja feito.	TEORICAMENTE IMPOSSÍVEL FAZER
Até que você esteja em paz com o que você é, você nunca estará satisfeito com o que tem.	ATÉ VOCÊ PAZ VOCÊ VOCÊ O O ESTAR SATISFAZER TER NUNCA NÃO
Somente aqueles que se arriscam a ir longe demais vão saber quão longe se pode chegar.	SOMENTE LONGE DEMAIS QUÃO LONGE AQUELES PODER IR ARRISCAR CHEGAR SABER
Nós podemos viajar no tempo. E fazemos isso à incrível velocidade de um segundo por segundo.	NÓS TEMPO VIAJAR PODER INCRÍVEL VELOCIDADE DOIS ISSO SEGUNDO NÓS FAZER
O problema real não é se máquinas pensam, mas se homens pensam.	REAL MÁQUINAS PROBLEMA PENSAR MAS HOMEM PENSAR (NÃO)
Meu interesse é no futuro porque é lá que eu vou passar o resto da minha vida.	LÁ PORQUE FUTURO EU MEU INTERESSE RESTO VIDA MEU PASSADO
O mundo é um livro e aqueles que não viajam leem apenas uma página.	MUNDO LIVRO LEEM AQUELES PÁGINA APENAS VIAJAR (NÃO)
A melhor forma de prever o futuro é inventá-lo.	MELHOR FORMA FUTURO INVENTAR PREVER
Se nós soubéssemos o que é que estávamos fazendo, não seria chamado de pesquisa, seria?	{SE NÓS SABER O PESQUISA FAZER NOME}(q)
Essa é a verdade sobre as pessoas que acham que odeiam computadores. O que eles realmente odeiam são programadores negligentes.	QUE ESSA VERDADE PESSOA ODIAR COMPUTADORES ACHAR REAL O ELES PROGRAMADORES NEGLIGENTES ODIAR
Eu acho que é uma boa coisa livros ainda existirem, mas eles me dão sono.	AINDA EU COISA ACHAR EXISTIR MAS ELES EU SONO DAR
Eu não consigo entender porque as pessoas têm medo de ideias novas. Eu tenho medo é das antigas.	PORQUE PESSOA EU MEDO IDEIAS NOVAS TER ENTENDER CONSEGUIR NÃO EU MEDO TER ANTIGAS (NÃO)
É um bom acordo.	BOM ACORDO
Abaixe suas mãos!	MÃOS SEU ELE ABAIXAR
Quanto antes, melhor.	ANTES MELHOR QUANTO
Eu realmente não estava esperando isso de você.	EU ISSO VOCÊ ESPERAR AINDA_{NÃO}(headshake)
Faz horas que espero.	HORAS FAZER ESPERAR
Estou esperando há horas.	HAVER HORAS ESPERAR
Eu estava quase saindo quando o telefone tocou.	QUASE EU SAIR QUANDO TELEFONE TOCAR
Preste atenção. Eu vou te mostrar como se faz.	ATENÇÃO ELE PRESTAR EU TU MOSTRAR COMO SE FAZER
Eu não estou nem um pouco convencido.	EU NEM UM POUCO CONVENCER
Você não pode conseguir o impossível sem tentar o absurdo.	VOCÊ IMPOSSÍVEL TENTAR ABSURDO CONSEGUIR PODER (NÃO)
Você só deve contar consigo mesmo. E mesmo assim, nem tanto.	MESMO VOCÊ SÓ CONSIGO CONTAR DEVER MESMO ASSIM TANTO NEM
Ficar quieto na sala de aula é respeitar o sono dos outros.	OUTROS FICAR QUIETO SALA RESPEITAR SONO
A lógica é um método sistemático de chegar à conclusão errada com confidência.	MÉTODO LÓGICA CONCLUSÃO CONFIDÊNCIA CHEGAR ERRAR
Axioma de Cole: a soma da inteligência no planeta é constante; a população está crescendo.	AXIOMA COLE SOMA CONSTANTE POPULAÇÃO CRESCER INTELIGÊNCIA PLANETA
As pessoas vão aceitar muito melhor sua ideia se você as disser que Benjamin Franklin já falou ela antes.	JÁ MELHOR PESSOA SEU SE VOCÊ DT(B-E-N-J-A-M-I-N) DT(F-R-A-N-K-L-I-N) IDEIA AS DIZER FALAR ANTES ACEITAR
Eu não fiz por querer.	EU QUERER FAZER (NÃO)
Há altos e baixos na vida.	VIDA ALTOS BAIXOS HAVER
Todos os gatos são cinza no escuro.	TODO GATOS CINZA ESCURO
Me ensine como é que você faz.	COMO VOCÊ EU ENSINAR
Nenhuma notícia é uma boa notícia.	NOTÍCIA NENHUM BOM NOTÍCIA
Eu estava esperando isso!	EU ISSO ESPERAR
Eu não espero nada de você.	EU NADA VOCÊ ESPERAR (NÃO)
O mundo é dividido em pessoas que fazem as coisas e em pessoas que recebem o crédito.	MUNDO COISA PESSOA DIVIDIR FAZER PESSOA CRÉDITO RECEBER
Espere na sala de espera.	SALA ESPERA ELE ESPERAR
Eu não sabia que ele bebia tanto.	ELE EU BEBER TANTO NÃO_SABER {NÃO}(headshake)
Está benfeito.	BENFEITO
Ele é uma boa pessoa.	ELE PESSOA BOM
As paredes têm ouvidos.	PAREDES OUVIR
Eu vou tomar um banho.	EU BANHO TOMAR
Se você comer muito, você engorda.	SE VOCÊ VOCÊ COMER ENGORDAR
Eu não sei se ele teria feito isso por mim.	SE ELE EU FAZER ISSO EU NÃO_SABER {NÃO}(headshake)
Você gostaria de vir?	{VOCÊ VIR GOSTAR}(q)
Eu sabia que ele aceitaria.	EU ELE SABER
Eu pensei que era verdade.	EU PENSAR VERDADE
Essa é a cidade da qual eu falei a você.	ESSA CIDADE EU VOCÊ FALAR
Esse é o garoto sobre o qual eu fico pensando.	ESSE GAROTO O EU PENSAR FICAR
Ele foi avisado em várias ocasiões.	ELE VÁRIOS MULHER OCASIÃO AVISAR
Eu tenho que devolver o livro antes de sábado.	ANTES EU LIVRO SÁBADO DEVOLVER
Nós tentamos tanto melhorar as coisas para nossos filhos que nós as deixamos piores.	TANTO NÓS NÓS COISA NOSSO AS PIORES FILHOS MELHORAR TENTAR DEIXAR
Oi, eu só queria te avisar que o problema foi resolvido.	SÓ TU OI EU PROBLEMA RESOLVER AVISAR QUERER
Como você pode ter um laptop e não ter um celular?	COMO VOCÊ LAPTOP TER PODER CELULAR NÃO_TER (NÃO)
Eu fui tomar um cerveja com uns amigos.	EU UM CERVEJA AMIGO TOMAR
Nós nos divertimos ontem.	ONTEM NÓS NÓS DIVERTIR
Eu comi caviar.	EU CAVIAR COMER
Essa faca foi muito útil para mim.	FACA ESSE ÚTIL EU TER MUITO
Eu consegui entrar.	EU ENTRAR CONSEGUIR
Aqui está seu troco.	AQUI TROCO SEU
Me desculpe, não tenho troco.	EU DESCULPAR TROCO NÃO_TER {NÃO}(headshake)
A situação está pior do que eu pensava.	PIOR SITUAÇÃO DO QUE EU PENSAR
Eles nem sabem por quê.	ELES NEM QUÊ ELES SABER
Você chegou na hora que eu saí.	VOCÊ EU HORA CHEGAR SAIR
Eu falei com uns amigos.	EU UM AMIGO FALAR
Eu quero saber quem vem conosco.	EU QUEM VIR CONOSCO SABER QUERER
O filme começou às 2 horas.	FILME 2 HORA COMEÇAR
Essa garota mudou seu visual.	MULHER GAROTO SEU ESSE VISUAL MUDAR
Você mudou muito.	VOCÊ MUDAR
Diga-me o que aconteceu.	O EU DIZER ACONTECER
Elas são meninas sensatas.	ELAS SENSATAS MULHER MENINO
Como você é bonita!	COMO VOCÊ BONITA
É mais fácil divertir-se do que trabalhar.	FÁCIL MAIS DIVERTIR DO QUE TRABALHAR
Você tem que trabalhar mais.	VOCÊ MAIS TRABALHAR
É mais difícil do que você pensa.	DIFÍCIL MAIS VOCÊ DO QUE PENSAR
Ele me disse que iria para Veneza.	ELE EU IR VENEZA DIZER
Nós conseguimos!	NÓS CONSEGUIR
Eu não concordo com ele.	EU DELE CONCORDAR (NÃO)
Há várias coisas que devem ser feitas. Você quer ajuda?	{VÁRIOS COISA FAZER HAVER FAZER DEVER VOCÊ AJUDA QUERER}(q)
Para mim, parece que o trem está atrasado.	TREM EU PARECER ATRASAR
Ele descobriu a notícia enquanto estava lendo o jornal.	ELE NOTÍCIA DESCOBRIR ENQUANTO JORNAL LER
Quem disse isso? Está completamente errado!	ISSO DIZER QUEM COMPLETAMENTE ERRAR (NÃO)
Quando eu era criança eu passava horas lendo sozinha no meu quarto.	QUANDO EU CRIANÇA EU MEU PASSADO SÓ HORAS LER QUARTO
Lobos normalmente não atacam pessoas.	LOBOS PESSOA ATACAR AINDA_{NÃO}(headshake)
"Alguém pode me ajudar?" "Eu posso."	ALGUÉM EU AJUDAR PODER EU PODER
Ah! Se eu fosse rico, eu compraria para mim uma casa na Espanha.	AH SE EU EU RICO COMPRAR EU CASA ESPANHA FOSSAR
Eu queria que ela parasse de tocar essa música idiota.	EU ESSE PARAR IDIOTA MÚSICA TOCAR QUERER
Eu espero que ele consiga vir! Eu gostaria de vê-lo.	EU ELE CONSEGUIR VIR ESPERAR EU VER VER GOSTAR
O jardim dela é uma obra de arte.	JARDIM OBRA ARTE
A água congela a zero grau Celsius, não é?	{CELSIUS ÁGUA GRAU ZERO CONGELAR}(q)
Se você resolver as coisas pequenas, as coisas grandes vão se resolver sozinhas.	PEQUENO GRANDE SE VOCÊ COISAS SOZINHAS COISA RESOLVER
Nós vamos comer muito hoje à noite. Então eu espero que você não esteja de dieta.	HOJE NÓS NOITE COMER ENTÃO VOCÊ EU ESPERAR DIETA (NÃO)
Por que você quer ir embora hoje?	{HOJE VOCÊ EMBORA IR QUERER}(q)
Pegue suas coisas e vá embora.	COISA SEU ELE PEGAR EMBORA EU IR
Elas estão te esperando na frente da porta.	ELAS FRENTE PORTA ESPERAR
Para o homem que só tem um martelo na sua caixa de ferramentas, todo problema parece um prego.	SÓ TODO HOMEM SEU CAIXA MARTELO FERRAMENTAS PROBLEMA PREGO TER PARECER
Por um acaso você sabe onde eu pus minhas chaves?	VOCÊ EU MEU PÔR CHAVES SABER ONDE (NÃO)
Eu sou contra usar a morte como punição. Também sou contra usá-la como recompensa.	EU MORTE PUNIÇÃO COMO USAR TAMBÉM COMO USAR ELE RECOMPENSAR
Precisamos de uma ambulância.	AMBULÂNCIA NÓS PRECISAR
Eu alimento meu gato toda manhã e toda noite.	EU MEU TODO TODO MANHÃ GATO NOITE ALIMENTAR
Estou grávida de quatro meses.	GRÁVIDA 4 MÊS
Nós homens somos acostumados a esperar pelas mulheres.	NÓS MULHER MULHER ESPERAR ACOSTUMAR
Quanto você dá de gorjeta na Espanha?	VOCÊ ESPANHA GORJETA DAR QUANTO (NÃO)
O tempo passou bem rápido.	BEM TEMPO RÁPIDO PASSADO
Qual é a sua bagagem?	BAGAGEM SEU QUAL (NÃO)
Há 1000 filmes que se deve assistir antes de morrer.	ANTES 1000 FILME MORRER HAVER ASSISTIR DEVER
Há muitas coisas que você não conhece sobre a minha personalidade.	VOCÊ MEU COISA MUITAS PERSONALIDADE HAVER CONHECER (NÃO)
Qual é a vantagem dessa tecnologia?	VANTAGEM TECNOLOGIA QUAL (NÃO)
Ele passou o anoitecer lendo um livro.	ELE ANOITECER LER LIVRO PASSADO
Você tem pensado nesse problema a manhã inteira. Dê uma parada; vá almoçar.	INTEIRO VOCÊ ESSE PROBLEMA MANHÃ PENSAR PARADA DÊ ALMOÇAR
Frutas e vegetais são essenciais para uma dieta balanceada.	FRUTAS VEGETAIS ESSENCIAIS DIETA BALANCEAR
Os elevadores em arranha céus são sistemas vitais.	ELEVADORES ARRANHAR VITAIS SISTEMA
Os elefantes são os maiores animais terrestres vivos atualmente.	ATUAL ELEFANTES MAIORES TERRESTRES VIVOS ANIMAL
Se você me ensinar como dançar, eu te mostrarei minhas cicatrizes escondidas.	COMO SE VOCÊ EU MEU EU TU MULHER CICATRIZ DANÇAR MOSTRAR ENSINAR ESCONDER
Ela está à beira de um colapso nervoso.	NERVOSO COLAPSO
Eu não necessariamente acredito em traduções.	NECESSARIAMENTE EU MULHER TRADUÇÃO ACREDITAR (NÃO)
Quando eu era da sua idade, Plutão era um planeta.	QUANDO PLUTÃO EU IDADE PLANETA SEU
A beleza está nos olhos de quem a vê.	BELEZA OLHO A VER
Eu tenho nacionalidade francesa, mas origem vietnamita.	FRANCÊS VIETNAMITA EU MAS NACIONALIDADE ORIGEM TER
A história dele era ridícula demais para alguém acreditar nela.	DEMAIS HISTÓRIA RIDÍCULO ALGUÉM DELE ACREDITAR
Senhor, você não tem permissão de estacionar seu carro aqui.	AQUI SENHOR PERMISSÃO SEU VOCÊ CARRO ESTACIONAR NÃO_TER {NÃO}(headshake)
Eu não quero mais ouvir suas reclamações.	EU SEU MULHER RECLAMAÇÃO MAIS OUVIR (NÃO)
Ele quer apagar as lembranças ruins.	ELE RUINS LEMBRANÇAS APAGAR QUERER
Meu coração estava cheio de felicidade.	CORAÇÃO CHEIO FELICIDADE MEU
Fizemos panquecas para o café da manhã.	PANQUECAS CAFÉ MANHÃ NÓS FAZER
O que você almoçou hoje?	{HOJE O VOCÊ ALMOÇAR}(q)
Eu não quero reprovar nas minhas provas.	EU MEU MEU REPROVAR (NÃO)
Eu passei a tarde toda conversando com amigos.	EU CONVERSAR AMIGO TARDE TODO PASSADO
Minha mãe comprou duas garrafas de suco de laranja.	MEU MÃE GARRAFA 2 SUCO LARANJA COMPRAR
Minha vida é vazia sem ele.	MEU VIDA VAZIO DELE
O mundo está cheio de tolos.	MUNDO CHEIO TOLOS
Esse lugar tem uma atmosfera misteriosa.	MISTERIOSO LUGAR ESSE ATMOSFERA TER
Não pode haver progresso sem comunicação.	PROGRESSO COMUNICAÇÃO HAVER ELE PODER (NÃO)
Eu quero uma massagem. Eu preciso relaxar.	EU MASSAGEM QUERER PRECISO RELAXAR
Ele é rico. Ele não precisa de dinheiro!	ELE RICO ELE DINHEIRO PRECISAR (NÃO)
Eu passei doze horas no trem.	EU HORA 12 TREM PASSADO
É difícil ter boas ideias.	DIFÍCIL TER BOM IDEIAS
A vida começa quando você paga impostos.	VIDA COMEÇAR QUANDO VOCÊ IMPOR PAGAR
O que você não tem é melhor do que o que você tem.	VOCÊ O VOCÊ O MELHOR DO QUE TER (NÃO)
Estou muito velho para esse mundo.	ESSE VELHO MUNDO
Estou vivo, apesar de eu não dar nenhum sinal de vida.	NENHUM EU VIVO SINAL VIDA (NÃO)
Este dia foi só uma perda de tempo e dinheiro.	SÓ DIA ESTE PERDA TEMPO DINHEIRO ELE IR
Depende do que você quer dizer com "acreditar" em Deus.	QUER DIZER DO QUE VOCÊ DEUS ACREDITAR DEPENDER
Se Spenser não continuar adicionando e traduzindo sentenças, os outros colaboradores com certeza vão ultrapassá-lo.	DT(S-P-E-N-S-E-R) SE ADICIONAR CONTINUAR NÃO COLABORADORES OUTRO SENTENÇAS TRADUZIR CERTEZA ULTRAPASSAR (NÃO)
Esta é uma história tão triste.	TÃO ESTA HISTÓRIA TRISTE
Nós fomos para Londres no ano passado.	NÓS LONDRES ANO PASSADO PASSADO
Eu moro perto do mar, então eu frequentemente vou para a praia.	PERTO ENTÃO EU EU IR MAR FREQUENTE PRAIA MORAR
Eu assisti televisão hoje de manhã.	HOJE MANHÃ EU TELEVISÃO
Eu faço almoço todo dia.	EU ALMOÇO TODO DIA FAZER
A vida é uma doença fatal sexualmente transmissível.	SEXUAL VIDA DOENÇA
Sinto muito, o voo está lotado.	VOO SENTIR LOTAR
"Idade?" "16"	IDADE 16
Você deve estar triste, já que você perdeu um de seus amigos.	VOCÊ JÁ QUE VOCÊ SEU DEVER TRISTE PERDER AMIGO
"Qual é a sua idade?" "Tenho dezesseis anos."	IDADE QUAL SEU DEZESSEIS ANOS EU TER
Hoje foi divertido.	HOJE DIVERTIR
Isso não é chato?	{ISSO CHATO}(q)
Eu acho que ele não vem.	ELE EU ACHAR VIR (NÃO)
Não há ninguém na sala.	NINGUÉM SALA HAVER (NÃO)
Eu consigo fazer sozinho!	EU SÓ FAZER CONSEGUIR
Correr é bom para a saúde.	CORRER BOM SAÚDE
Ela não tem que trabalhar.	TRABALHAR
Eu não gosto de ver filmes.	EU FILMES VER GOSTAR (NÃO)
Eu gosto de tomar sopa quente.	EU QUENTE SOPA TOMAR GOSTAR
O que você vai fazer no fim de semana?	{FIM SEMANA O VOCÊ FAZER}(q)
Eu quero respirar um pouco de ar fresco.	EU UM POUCO FRESCO AR RESPIRAR QUERER
Minha esposa gripa fácil.	MULHER ESPOSO FÁCIL MEU ELE GRIPAR
Minha esposa tem facilidade de pegar gripe.	MEU MULHER ESPOSO FACILIDADE GRIPE TER PEGAR
Eu tenho que estudar para o teste.	EU TESTE ESTUDAR
Havia muita neve no ano passado.	NEVE ANO MUITA HAVER PASSADO
Havia um tempo em que havia uma ponte aqui.	AQUI TEMPO PONTE HAVER HAVER
Eu terminei de ler aquele livro.	EU AQUELE LIVRO LER TERMINAR
Eu continuei trabalhando.	EU TRABALHAR CONTINUAR
Eu devolvi o livro para a biblioteca.	EU LIVRO BIBLIOTECA DEVOLVER
Me desculpe, mas estou indo para casa.	EU DESCULPAR MAS CASA IR
Há muito tempo atrás havia uma ponte aqui.	ATRÁS HAVER MUITO TEMPO PONTE AQUI HAVER
Ele dormiu demais hoje de manhã.	DEMAIS ELE HOJE MANHÃ DORMIR
Ele dormiu demais nessa manhã.	DEMAIS ELE ESSE MANHÃ DORMIR
Esta carne é de frango.	CARNE ESTE FRANGO
Ela disse "obrigada pela refeição" para o cozinheiro.	REFEIÇÃO COZINHEIRO ELE DIZER
Eu acho que é perigoso andar sozinho à noite.	EU ACHAR PERIGOSO ANDAR SÓ NOITE
Ele tem uma voz agradável.	AGRADÁVEL ELE VOZ TER
Eu tenho muito dever de casa.	EU CASA DEVER TER
Ela costumava ser professora.	ELE COSTUMAR MULHER PROFESSOR
Se há algo que seja uma ato imperdoável, é o ato de não perdoar.	ATO HAVER ALGO ATO PERDOAR (NÃO)
Pessoas machucadas machucam pessoas.	PESSOA PESSOAS MACHUCAR ELES MACHUCAR
Seus amigos sentirão saudades de você quando você for embora.	SEU AMIGO SAUDADES VOCÊ SENTIR QUANDO VOCÊ EMBORA IR
Quando você vai se casar?	VOCÊ CASAR QUANDO (NÃO)
Temos muita neve no inverno.	NEVE INVERNO MUITA NÓS TER
A Lituânia é um membro da União Europeia.	LITUÂNIA MEMBRO UNIÃO EUROPEIA
Eu me pergunto que efeito os avanços tecnológicos tais como a Internet, telefones celulares e tecnologia de digitalização têm na consciência, nas ações e no interesse por política das pessoas.	TECNOLÓGICOS CELULARES EU EU EFEITO TAIS AVANÇOS INTERNET TELEFONES PERGUNTAR TECNOLOGIA DIGITALIZAÇÃO CONSCIÊNCIA MULHER AÇÃO TER
O pássaro símbolo do estado de Minnesota é o mosquito.	SÍMBOLO MINNESOTA ESTADO MOSQUITO
Eu voltarei para a Austrália depois de amanhã.	DEPOIS EU AUSTRÁLIA AMANHÃ VOLTAR
Com esta entrada, duas pessoas podem entrar de graça.	GRAÇA PESSOA ESTE ENTRADA 2 ENTRAR ELES PODER
Feliz 4 de julho!	FELIZ 4 JULHO
Seu idiota!	IDIOTA SEU
Eu queria ter tempo para ficar e conversar com você.	EU TEMPO TER QUERER FICAR VOCÊ CONVERSAR
É perigoso duas pessoas andarem ao mesmo tempo numa bicicleta.	AO MESMO TEMPO PERIGOSO PESSOA 2 ELES ANDAR BICICLETA
Ele tirou 90 em Inglês.	ELE 90 INGLÊS TIRAR
Vale a pena lembrar do problema.	PENA LEMBRAR PROBLEMA ELE VALER
O problema vale a pena ser lembrado.	PROBLEMA PENA LEMBRAR ELE VALER
Uma celebridade é uma pessoa que é conhecida por sua qualidade de ser bem conhecida.	BEM CELEBRIDADE PESSOA QUALIDADE SEU CONHECER CONHECER
Educação é aprender aquilo que você nem sabia que não sabia.	EDUCAÇÃO APRENDER VOCÊ AQUILO NEM QUE ELE SABER NÃO_SABER {NÃO}(headshake)
Até crianças podem ler esse livro.	CRIANÇAS ESSE LIVRO LER PODER
Não se preocupe! Mesmo se eu beber, isso não afeta minha capacidade de dirigir.	ELE PREOCUPAR MESMO MEU ISSO EU BEBER CAPACIDADE DIRIGIR AFETA (NÃO)
Lei e política são coisas diferentes.	LEI POLÍTICA DIFERENTE COISA
Você está escovando seus dentes direito?	{DIREITO VOCÊ DENTES SEU ESCOVAR}(q)
Eu vou sair em uma hora.	EU HORA SAIR
Daqui a uma hora eu sairei.	AQUI EU HORA SAIR
"Seu nariz está escorrendo." "D-desculpe."	NARIZ SEU ESCORRER D DESCULPE
Eu sou um bom motorista de táxi.	EU MOTORISTA BOM TÁXI
Ei, você! Não corra em volta da piscina!	EIS VOCÊ CORRA VOLTA PISCINA (NÃO)
Meus olhos estão doendo.	OLHO MEU DOER
Meus olhos doem.	OLHO MEU ELES DOER
Este é de longe o melhor entre todos esses.	LONGE ESTE TODO MELHOR ESSE
Tentativas de lutar contra o incêndio usando baldes logo se provaram infrutíferas.	LOGO TENTATIVAS INCÊNDIO INFRUTÍFERAS BALDES LUTAR USAR PROVAR
O muro que separa criminosos de não criminosos não é tão grosso quanto pensamos.	TÃO GROSSO MURO CRIMINOSOS CRIMINOSOS PENSAR SEPARAR (NÃO)
Coisas que você vê com seus olhos não são necessariamente verdades.	NECESSARIAMENTE VOCÊ COISA OLHO SEU VERDADES VER (NÃO)
Se você olhar de longe, a maioria das coisas vão parecer bonitas.	LONGE SE VOCÊ COISA BONITAS MAIORIA PARECER OLHAR
Vou tentar mais na próxima vez.	PRÓXIMO VEZ MAIS TENTAR
Mas o trabalho na fazenda era agradável.	MAS TRABALHO AGRADÁVEL FAZENDA
Apesar da pouca idade, ele fez um bom trabalho.	APESAR BOM POUCO ELE IDADE TRABALHO FAZER
A sorte é como uma mulher: ela tem que ser desejada.	SORTE DESEJAR MULHER
Ele é um bom advogado.	ELE BOM ADVOGADO
O que o médico disse?	{O MÉDICO DIZER}(q)
Feliz dia do Canadá!	FELIZ DIA CANADÁ
Por que pedir desculpas por algo que você nem fez?	{DESCULPAS ALGO VOCÊ PEDIR NEM ELE FAZER}(q)
Qual é o problema?	PROBLEMA QUAL (NÃO)
"Sério?" "Sim, sério."	SÉRIO SIM SÉRIO
Tenho que dormir logo.	LOGO DORMIR
O Céu e o Inferno só existem nos corações dos homens.	CÉU SÓ INFERNO CORAÇÕES HOMEM EXISTIR
Até o inferno pode ser um bom lugar para viver quando você se acostuma com ele.	INFERNO PODER LUGAR VIVER QUANDO VOCÊ DELE ACOSTUMAR
Tudo que há nesse mundo não é mais do que um sonho.	TUDO ESSE MUNDO MAIS DO QUE SONHO HAVER (NÃO)
A mulher observa, o homem decide.	MULHER HOMEM DECIDIR
Ele chamou um táxi para mim.	ELE TÁXI EU NOME
Ele trabalha num banco.	ELE BANCO TRABALHAR
Aonde você vai?	{AONDE VOCÊ IR}(q)
Ela cortou a maçã pela metade.	MAÇÃ METADE ELE CORTAR
Ela cortou a maçã no meio.	MAÇÃ MEIO ELE CORTAR
Ela dividiu a maçã em duas partes iguais.	IGUAL MAÇÃ 2 PARTE ELE DIVIDIR
Pharamp deseja a todos um Feliz Natal e que 2015 seja um ano repleto de harmonia.	PHARAMP TODO FELIZ NATAL DESEJAR 2015 REPLETO ANO HARMONIA
Ela frequentemente chegava atrasada na escola.	FREQUENTE ESCOLA ATRASAR ELE CHEGAR
Ela muitas vezes estava atrasada para a escola.	MUITAS VEZES ATRASAR ESCOLA
Ninguém nunca ficou rico economizando em drinques.	NINGUÉM RICO DRINQUES ECONOMIZAR FICAR NUNCA NÃO
Minha perna foi mordida por um cachorro.	MEU PERNA CACHORRO MORDER
Temos cinco tipos de kebab.	TIPO 5 KEBAB NÓS TER
Você poderia falar mais devagar, por favor?	{DEVAGAR VOCÊ MAIS FAVOR FALAR PODER}(q)
Você tem que evitar cometer esse tipo de erro.	VOCÊ ESSE TIPO ERRO COMETER EVITAR
Você decidiu ir ao Japão?	{VOCÊ JAPÃO IR DECIDIR}(q)
Você fez seus deveres?	{VOCÊ DEVER SEU FAZER}(q)
É proibido aos estudantes fumar no terreno da escola.	ESTUDANTES TERRENO ESCOLA FUMAR PROIBIR
O que ele me disse me chocou.	O ELE EU EU DIZER CHOCAR
O nível de segurança, como estabelecido pelo Departamento de Segurança Interior, é laranja.	COMO NÍVEL SEGURANÇA LARANJO DEPARTAMENTO SEGURANÇA INTERIOR ESTABELECER
Graças a uma necessidade urgente, ele não poderá vir.	ELE NECESSIDADE VIR PODER (NÃO)
Isso é um gato ou um cachorro?	{ISSO CACHORRO GATO OU}(q)
Tom gosta de tomates?	{TOM TOMATES GOSTAR}(q)
Eu sou francês.	EU FRANCÊS
Vamos tentar algo!	ALGO TENTAR
Vá para o médico pegar a receita!	EU IR MÉDICO RECEITA PEGAR
Ele percebeu que estava errado.	ELE PERCEBER ERRAR
Ele viu que ele estava errado.	ELE ELE VER ERRAR
Eu comecei a ler o livro.	EU LIVRO LER COMEÇAR
Eu comecei a escrever o livro.	EU LIVRO ESCREVER COMEÇAR
Eu comecei o livro.	EU LIVRO COMEÇAR
As pessoas são geralmente bem céticas em relação às coisas a menos que sejam dadas provas credíveis.	GERAL BEM PESSOA CÉTICAS PROVAS CREDÍVEIS RELAÇÃO COISA MENOS DAR
Se pelo menos eu cantasse melhor.	PELO MENOS SE EU MELHOR CANTAR
É claro que eu concordo que você deva avançar na vida através de seus próprios esforços.	CLARO EU QUE VOCÊ SEU CONCORDAR DEVER VIDA PRÓPRIOS ESFORÇOS AVANÇAR
Eu nunca pensei que eu mesmo cometeria esse erro.	MESMO EU EU ESSE COMETER ERRO PENSAR NUNCA NÃO
Eu próprio já paguei multas por estacionamento proibido algumas vezes.	JÁ EU PRÓPRIO ALGUM MULTAS ESTACIONAMENTO MULHER VEZ PAGAR PROIBIR
Todas essas reuniões são em inglês.	MULHER REUNIÃO TODO ESSE INGLÊS
Nos EUA, o consumo de fast-food triplicou entre 1977 e 1995.	CONSUMO EUA FAST FOOD 1977 1995 TRIPLICAR
Por favor me leve para jantar!	EU JANTAR LEVAR
Ajudem um ao outro com o dever de casa.	UM AO OUTRO DEVER CASA ELES AJUDAR
Eles ajudaram um ao outro com o dever de casa.	UM AO OUTRO ELES DEVER CASA AJUDAR
Este pombo voou de São Francisco a Nova York.	POMBO ESTE SÃO FRANCISCO A NOVA YORK VOAR
Eu posso vir amanhã.	AMANHÃ EU VIR PODER
Essa velha e miserável igreja é o prédio mais antigo do nosso país.	ESSE VELHO MISERÁVEL IGREJA ANTIGO PRÉDIO NOSSO PAÍS MAIS
Vamos comer uma melancia!	VERMELHO MELÃO COMER
Todo mundo ama aquele lugar.	TODO MUNDO AQUELE LUGAR AMAR
Você gosta das pessoas que estão governando o país?	{VOCÊ PESSOA PAÍS GOSTAR GOVERNAR}(q)
Eu entrei numa escola de artes quando eu tinha 8 anos.	EU ESCOLA ARTE ENTRAR QUANDO EU 8 ANO TER
Eu queria que a minha grama fosse emo. Daí ela se cortaria sozinha.	EU GRAMA EMO MEU QUERER FOSSAR AÍ SÓ ELE CORTAR
Nós só temos chá.	SÓ NÓS CHÁ TER
Eu queria algo para beber.	EU ALGO QUERER BEBER
Você não gostaria de comer?	{VOCÊ COMER GOSTAR NÃO}(q)
